,timestamp,open,high,low,close,volume,turnover,RSI,EMA,month,prev_close,prev_volume,next_close,volatility,momentum,relative_change,cluster
59,2021-10-01,43801.54,48420.0,43283.41,48114.61,525.125568,24328537.7088469,0.4879592785696528,0.5339948152431762,2021-10,0.4890112814938578,0.0038242214375048505,47641.01,0.4437482829279729,90102.14075444547,98390.61553291146,0
58,2021-10-02,48114.61,48252.31,47394.19,47641.01,263.122172,12573858.02218561,0.45563900650384437,0.5396413924862089,2021-10,0.5642876204109537,0.006101968775149379,48200.0,0.06940733235689887,88281.7200865944,84425.82114008542,0
57,2021-10-03,47641.01,49240.0,47099.99,48200.0,257.724141,12406515.32824863,0.491542040302655,0.545773040568569,2021-10,0.5560218435719189,0.0029587258859450237,49245.76,0.18156516474267148,88314.09879965264,86686.24180035843,0
56,2021-10-04,48200.0,49490.0,46930.65,49245.76,913.675792,44237913.49162313,0.6338756060201346,0.5532342541863775,2021-10,0.5657779385787856,0.0028939659522361698,51473.85,0.21825494735479048,89013.30023060311,87039.7922297282,0
55,2021-10-05,49245.76,51870.0,49043.88,51473.85,1028.261671,51456882.41851219,0.7561018314581766,0.5640618359045397,2021-10,0.584029667436871,0.010763388235096984,55300.01,0.24159575268563233,91254.68638668065,88134.67678146061,0
54,2021-10-06,51473.85,55750.0,50400.0,55300.01,1100.045644,58396463.78027931,0.7682783196826387,0.5808593282909857,2021-10,0.6229166917554636,0.012138069841781122,53801.17,0.46242040222795033,95202.79084330906,88774.93221038448,0
53,2021-10-07,55300.01,55313.68,53422.04,53801.17,774.557183,42074706.80156227,0.6953399633365991,0.5933144815333415,2021-10,0.6896949533906878,0.012999258918471897,53949.01,0.15983425114661057,90678.01033016774,78006.19685638114,0
52,2021-10-08,53801.17,56102.37,53660.0,53949.01,825.077233,44960162.38760311,0.7759166667211522,0.6048539473895134,2021-10,0.6635355848150559,0.009094388576423664,54934.91,0.20801988566268964,89192.44948121494,81304.37567934197,0
51,2021-10-09,53949.01,55470.0,53680.01,54934.91,782.695321,42876048.69606606,0.7928756551942159,0.6170984166676969,2021-10,0.666115847585079,0.009700475330828741,54668.53,0.15094047425310655,89020.31089015913,82469.50449131297,0
50,2021-10-10,54934.91,56550.0,54024.15,54668.53,1019.131803,56200331.72744811,0.776627929942346,0.6276893237959995,2021-10,0.6833228353080618,0.009192021449853533,57506.97,0.2153238944680971,87093.88584159414,80002.95592714802,0
49,2021-10-11,54668.53,57800.0,54450.0,57506.97,737.101737,41745855.83922055,0.8437142747645052,0.6424653516228505,2021-10,0.6786736848976265,0.012028539228405506,57506.97,0.28743217018655515,89508.83870918318,84733.34476640206,0
150,2021-10-11,54668.53,57800.0,54450.0,57506.97,737.101737,41745855.83922055,0.8924601300548606,0.655834138704287,2021-10,0.7282131942113734,0.008645037285185142,55999.63,0.28743217018655515,87684.23412583386,78968.96436912657,0
149,2021-10-12,57506.97,57631.0,53950.83,55999.63,851.978777,48067401.86884786,0.8240865663202626,0.6651715767009956,2021-10,0.7282131942113734,0.008645037285185142,57364.71,0.3163201024731087,84187.2485083584,76899.04856427439,0
148,2021-10-13,55999.63,57733.52,54253.37,57364.71,908.039309,50856520.73959879,0.8160468840645508,0.6761175587574075,2021-10,0.7019054744889259,0.010023211937214631,57343.15,0.2988195293866484,84843.28374471869,81726.1158082484,0
147,2021-10-14,57364.71,58500.0,56803.97,57343.15,691.736737,39863911.57968805,0.7657045629107047,0.6859816158365977,2021-10,0.7257303196059657,0.010695767603531312,61585.55,0.14271952711180189,83591.83787812071,79013.40583484838,0
146,2021-10-15,57343.15,62790.0,56850.01,61585.55,1006.980643,60597986.93936423,0.8348435772708228,0.7026689839352624,2021-10,0.7253540312853373,0.008100795432423983,60863.16,0.5140410557390015,87644.18060138817,84903.12590782678,0
145,2021-10-16,61585.55,62300.39,60135.0,60863.16,555.703159,34019895.51639679,0.7986847338462625,0.7164452494030604,2021-10,0.7993969613147336,0.011882762311584229,61541.87,0.18378576540727654,84950.58569438623,76135.34144906055,0
144,2021-10-17,60863.16,61700.37,59000.0,61541.87,724.426375,43944996.00969674,0.7949181194359032,0.7301513933873076,2021-10,0.7867890336737908,0.006468806751095878,62022.11,0.2305933675960296,84285.45149123919,78218.02360870445,0
143,2021-10-18,61541.87,62600.0,59830.3,62022.11,795.161235,49023322.2078602,0.7749404575208838,0.7434309336480303,2021-10,0.7986346109508631,0.008492971540683911,64224.62,0.2366593346597441,83425.86212377025,77659.18295419954,0
142,2021-10-19,62022.11,64450.0,61244.06,64224.62,679.630752,42656058.98315605,0.7526926839812685,0.7594759093690757,2021-10,0.8070162762151749,0.009341574456173852,65998.65,0.27482776783261365,84563.39395602915,79581.80631117751,0
141,2021-10-20,64224.62,66934.88,63502.65,65998.65,610.317625,39802635.48075854,0.8502527537203785,0.7772389128884913,2021-10,0.8454568508472338,0.007955560478034062,62228.43,0.2946268113469374,84913.23795898992,78061.70649278273,0
140,2021-10-21,65998.65,66645.39,62077.0,62228.43,1019.22596,65467914.5689014,0.6832011282083613,0.7864114518917249,2021-10,0.8764191314337058,0.0071240140290282335,60719.0,0.3940341262050128,79128.6081082092,71002.04839101643,0
139,2021-10-22,62228.43,63702.34,60011.11,60719.0,924.757517,57282170.50976101,0.6152420663122258,0.7919484602016027,2021-10,0.8106171948752885,0.012029668825674997,61314.15,0.3172877873962974,76669.39340482213,74903.65337259651,0
138,2021-10-23,60719.0,61704.21,59700.0,61314.15,553.820131,33792747.13300072,0.634370957519022,0.7980471400681439,2021-10,0.7842729982238006,0.010896335188602764,60873.54,0.16968346378706048,76829.23586146113,78178.60090282664,0
137,2021-10-24,61314.15,61490.02,59508.0,60873.54,575.617262,34882486.28298428,0.5635333819943029,0.802758764946212,2021-10,0.7946601964622966,0.006446216149365002,63078.41,0.167741969352561,75829.42709484308,76602.23276665865,0
136,2021-10-25,60873.54,63709.8,60668.56,63078.41,527.905248,33075306.98773933,0.6090117545165035,0.8110561355546466,2021-10,0.7869701966036666,0.006707715343905235,60292.0,0.260417486924005,77772.17405639669,80152.4928161549,0
135,2021-10-26,63078.41,63300.0,59900.0,60292.0,541.859274,33512089.14844482,0.5710409533063533,0.8134647063830405,2021-10,0.8254519604953117,0.006135316470361175,58485.76,0.29180687598759003,74116.53641787378,73040.19789578287,0
134,2021-10-27,60292.0,61434.44,58051.0,58485.76,896.591871,53143194.67985605,0.49575946269867766,0.812338830919866,2021-10,0.7768205347308363,0.006302722289025726,60566.68,0.2903579734262875,71995.7552625456,75287.63796097379,0
133,2021-10-28,58485.76,62500.0,57948.02,60566.68,684.597324,41019988.13583334,0.5383235114475007,0.8151278498464796,2021-10,0.7452960905633139,0.010558433207708794,62250.71,0.3925983477611135,74302.28875575417,81264.25922633265,0
132,2021-10-29,60566.68,62935.25,60200.0,62250.71,380.384472,23406239.7782845,0.48555141541266933,0.8207326866151528,2021-10,0.7816145456728678,0.00801514421763842,61793.47,0.2336451623628313,75846.72851771381,79642.74555799789,0
131,2021-10-30,62250.71,62340.07,60686.29,61793.47,215.66573,13266069.29615523,0.4920790569595084,0.8249670714914328,2021-10,0.8110060494107059,0.004365516394289229,61241.16,0.1390229007099274,74903.16543327659,76192.59935095484,0
